,City,Lattitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,mar del plata,-38.0023,-57.5575,62.73,89,75,14.97
1,bara,10.3744,10.7288,76.24,42,70,1.63
2,geraldton,-28.7667,114.6,62.49,86,45,9.62
3,kosa,59.9445,54.9977,31.23,83,55,9.35
4,saint-philippe,-21.3585,55.7679,69.39,79,43,10.07
5,bethel,41.3712,-73.414,52.5,49,0,5.23
6,tuatapere,-46.1333,167.6833,48.02,53,97,6.6
7,najran,17.4924,44.1277,66.85,21,7,0.69
8,porto novo,6.4965,2.6036,76.82,88,24,5.79
9,vaini,-21.2,-175.2,75.36,88,75,11.5
10,mumford,5.2618,-0.759,78.3,85,72,9.22
11,qaanaaq,77.484,-69.3632,1.06,66,10,12.84
12,nuuk,64.1835,-51.7216,29.88,58,100,1.99
13,carnarvon,-24.8667,113.6333,63.72,81,6,10.51
14,yar-sale,66.8333,70.8333,31.87,94,100,9.37
15,xuanhua,40.6103,115.0447,50.85,48,9,2.13
16,talakan,50.3167,130.3667,36.05,75,99,3.18
17,victoria,22.2855,114.1577,74.71,75,98,10.0
18,isangel,-19.55,169.2667,78.91,78,75,4.61
19,westport,41.1415,-73.3579,55.11,55,0,18.99
20,panjab,34.388,67.0233,34.79,31,0,2.3
21,punta arenas,-53.15,-70.9167,46.33,49,40,44.87
22,rikitea,-23.1203,-134.9692,70.74,75,87,22.77
23,bandarbeyla,9.4942,50.8122,77.88,88,35,8.95
24,katsuura,35.1333,140.3,63.84,62,0,5.01
25,mataura,-46.1927,168.8643,48.13,45,64,5.7
26,hobart,-42.8794,147.3294,55.11,85,20,9.22
27,nanortalik,60.1432,-45.2371,36.59,65,43,8.9
28,phangnga,8.4509,98.5298,73.44,95,82,1.1
29,bluff,-46.6,168.3333,48.22,50,46,10.04
30,luang prabang,19.8856,102.1347,68.79,83,98,2.19
31,bentiu,9.2333,29.8333,74.53,81,84,3.65
32,kirakira,-10.4544,161.9205,82.78,78,81,8.23
33,saint-joseph,-21.3667,55.6167,68.38,77,55,9.46
34,upernavik,72.7868,-56.1549,18.86,71,100,6.69
35,mahebourg,-20.4081,57.7,71.89,83,40,10.36
36,khatanga,71.9667,102.5,10.04,92,93,5.68
37,tuktoyaktuk,69.4541,-133.0374,26.6,86,75,11.5
38,feroke,11.1774,75.8337,74.34,94,75,4.61
39,mount gambier,-37.8333,140.7667,62.65,71,99,3.53
40,atuona,-9.8,-139.0333,76.84,70,19,17.43
41,andenes,69.3143,16.1194,40.98,81,100,8.05
42,jamestown,42.097,-79.2353,39.88,60,100,17.27
43,nikolskoye,59.7035,30.7861,40.91,96,94,3.91
44,college,64.8569,-147.8028,35.6,87,100,0.67
45,det udom,14.906,105.0784,71.42,89,98,2.8
46,hermanus,-34.4187,19.2345,57.22,82,79,10.07
47,dikson,73.5069,80.5464,32.4,98,100,15.7
48,new norfolk,-42.7826,147.0587,54.9,67,18,3.27
49,cam ranh,11.9214,109.1591,75.16,88,20,4.61
50,hilo,19.7297,-155.09,83.41,70,75,11.5
51,port elizabeth,-33.918,25.5701,61.09,82,40,6.91
52,saint george,37.1041,-113.5841,81.01,18,0,4.61
53,conde,-7.2597,-34.9075,78.26,69,20,10.36
54,olafsvik,64.8945,-23.7142,40.89,77,48,20.22
55,tando ghulam ali,25.1311,68.8676,75.87,62,0,7.31
56,siva,29.2041,25.5195,71.38,39,0,5.46
57,bredasdorp,-34.5322,20.0403,55.76,84,96,5.17
58,georgetown,5.4112,100.3354,80.33,87,20,3.44
59,hovd,48.0056,91.6419,32.27,42,93,8.48
60,busselton,-33.65,115.3333,55.33,81,54,4.32
61,namtsy,62.7161,129.6658,8.31,97,84,4.03
62,buchanan,5.8808,-10.0467,76.12,89,95,4.18
63,yellowknife,62.456,-114.3525,39.72,87,75,15.01
64,tautira,-17.7333,-149.15,77.07,80,56,17.4
65,buckeye,33.3703,-112.5838,89.44,22,0,9.22
66,manokwari,-0.8667,134.0833,80.35,73,32,2.1
67,iqaluit,63.7506,-68.5145,36.7,69,100,19.57
68,hit,33.6416,42.8251,77.27,34,89,5.75
69,port alfred,-33.5906,26.891,61.18,95,86,1.99
70,ushuaia,-54.8,-68.3,42.46,70,40,29.93
71,bagotville,-28.9833,153.4167,68.85,99,75,10.65
72,reconquista,-29.15,-59.65,68.09,77,45,10.65
73,mount isa,-20.7333,139.5,77.0,38,0,8.66
74,norman wells,65.282,-126.8329,28.44,86,100,10.36
75,izumo,35.3667,132.7667,46.29,100,75,5.75
76,yenagoa,4.9247,6.2642,75.49,93,92,3.76
77,nishihara,26.1842,127.7558,78.08,69,75,19.57
78,pinega,64.7001,43.3936,29.86,77,59,15.55
79,tarko-sale,64.9225,77.785,34.7,93,100,14.94
80,albany,42.6001,-73.9662,50.41,42,30,6.26
81,nara,34.6851,135.8049,53.4,66,1,2.39
82,castro,-24.7911,-50.0119,60.13,96,100,4.79
83,kapaa,22.0752,-159.319,76.12,72,99,4.0
84,khandyga,62.6667,135.6,3.11,100,97,1.41
85,cherskiy,68.75,161.3,15.13,95,99,9.31
86,vallenar,-28.5708,-70.7581,75.65,23,0,6.38
87,thaba-tseka,-29.522,28.6084,51.89,87,100,1.16
88,lompoc,34.6391,-120.4579,78.62,51,0,13.8
89,poso,-1.3959,120.7524,76.91,83,72,3.91
90,east london,-33.0153,27.9116,66.92,81,93,6.73
91,cape town,-33.9258,18.4232,60.94,77,0,16.11
